Station,Lat,Lon
1,56.933,-7.392
2,57.829,-6.390
3,58.477,-6.455
4,58.477,-8.283
5,58.219,-8.825
6,58.219,-7.499
7,57.969,-8.503
8,57.723,-9.375
9,57.719,-8.001
10,57.469,-7.570
11,57.468,-8.501
12,57.222,-9.273
13,57.220,-7.998
14,56.968,-8.494
15,56.845,-9.039
16,56.716,-7.520
17,56.593,-8.996
18,56.593,-8.007
19,56.594,-7.178
20,56.345,-8.498
21,56.343,-7.502
22,56.345,-6.721
23,56.098,-9.140
24,56.094,-8.002
25,56.096,-7.001
26,55.969,-8.499
27,55.843,-9.008
28,55.843,-7.506
29,55.845,-6.646
30,55.594,-9.352
31,55.595,-8.503
32,55.595,-7.001
33,55.469,-8.998
34,55.344,-8.004
35,55.220,-8.986
36,55.009,-9.943
37,54.969,-10.156
38,54.845,-9.003
39,54.595,-10.595
40,54.596,-9.507
41,54.221,-10.180
42,54.219,-10.821
43,53.970,-11.235
44,53.719,-10.124
