Str,Trans,S_Date,S_Time,S_Lat,S_Lon,E_Date,E_Time,E_Lat,E_Lon
42E3,101,24/06/2014,13:22,56.517,-6.6413,24/06/2014,15:00,56.739,-6.244
42E3,201,24/06/2014,15:01,56.741,-6.2439,24/06/2014,17:25,56.865,-6.999
42E2,202,24/06/2014,17:26,56.866,-7.0000,24/06/2014,18:43,56.933,-7.392
42E2,301,24/06/2014,18:58,56.933,-7.3833,24/06/2014,20:11,56.998,-7.001
43E3,302,24/06/2014,20:12,56.998,-6.9977,24/06/2014,21:19,57.053,-6.654
43E3,401,24/06/2014,21:21,57.055,-6.6548,24/06/2014,22:35,57.153,-6.999
43E2,402,24/06/2014,22:36,57.154,-7.0027,25/06/2014,03:22,57.217,-7.226
43E2,501,25/06/2014,03:24,57.220,-7.2232,25/06/2014,04:06,57.256,-7.001
43E3,502,25/06/2014,04:07,57.257,-6.9993,25/06/2014,05:18,57.318,-6.627
43E3,601,25/06/2014,05:20,57.321,-6.6290,25/06/2014,06:30,57.394,-7.000
43E2,602,25/06/2014,06:31,57.394,-7.0017,25/06/2014,07:00,57.425,-7.155
43E2,701,25/06/2014,07:02,57.431,-7.1562,25/06/2014,07:37,57.488,-7.002
43E3,702,25/06/2014,07:38,57.488,-6.9997,25/06/2014,07:44,57.500,-6.966
44E3,703,25/06/2014,07:45,57.500,-6.9668,26/06/2014,10:32,57.614,-6.646
44E3,801,26/06/2014,10:33,57.615,-6.6473,26/06/2014,11:41,57.776,-6.851
44E3,901,26/06/2014,11:42,57.776,-6.8504,26/06/2014,13:21,57.715,-6.339
44E3,1001,26/06/2014,13:22,57.715,-6.3374,26/06/2014,15:19,57.950,-6.451
44E3,1101,26/06/2014,15:20,57.952,-6.4484,26/06/2014,16:45,57.872,-6.000
44E4,1102,26/06/2014,16:46,57.871,-5.9960,25/06/2014,17:11,57.849,-5.862
44E4,1201,25/06/2014,17:12,57.851,-5.8607,25/06/2014,17:58,57.965,-6.001
44E3,1202,25/06/2014,17:59,57.966,-6.0133,25/06/2014,18:02,57.970,-6.007
45E3,1203,25/06/2014,19:59,58.002,-6.0425,25/06/2014,20:53,58.138,-6.207
45E3,1301,25/06/2014,21:02,58.163,-6.2037,25/06/2014,21:41,58.169,-6.001
45E4,1302,25/06/2014,21:41,58.169,-5.9982,26/06/2014,03:51,58.190,-5.372
