Cruise_Code,Stratum,ICES,Lat,Lon
CE13015,1,Inside Shannon,52.571,-9.756
CE13015,1,Inside Shannon,52.533,-9.963
CE13015,1,Inside Shannon,52.440,-9.907
CE13015,1,Inside Shannon,52.493,-9.711
CE13015,1,Inside Shannon,52.571,-9.756
CE13015,2,Dingle,52.062,-10.540
CE13015,2,Dingle,52.107,-10.200
CE13015,2,Dingle,52.054,-10.147
CE13015,2,Dingle,51.980,-10.276
CE13015,2,Dingle,51.924,-10.431
CE13015,2,Dingle,52.062,-10.540
CE13015,3,Dingle,51.725,-10.389
CE13015,3,Dingle,51.729,-10.280
CE13015,3,Dingle,51.729,-10.193
CE13015,3,Dingle,51.745,-10.056
CE13015,3,Dingle,51.692,-10.042
CE13015,3,Dingle,51.676,-10.094
CE13015,3,Dingle,51.642,-10.123
CE13015,3,Dingle,51.578,-10.282
CE13015,3,Dingle,51.578,-10.391
CE13015,3,Dingle,51.703,-10.391
CE13015,3,Dingle,51.725,-10.389
CE13015,4,Bantry,51.662,-9.693
CE13015,4,Bantry,51.619,-9.827
CE13015,4,Bantry,51.601,-9.994
CE13015,4,Bantry,51.575,-10.073
CE13015,4,Bantry,51.511,-9.913
CE13015,4,Bantry,51.542,-9.863
CE13015,4,Bantry,51.589,-9.762
CE13015,4,Bantry,51.633,-9.649
CE13015,4,Bantry,51.662,-9.693
CE13015,5,Dunmanus,51.532,-9.850
CE13015,5,Dunmanus,51.565,-9.707
CE13015,5,Dunmanus,51.546,-9.676
CE13015,5,Dunmanus,51.502,-9.812
CE13015,5,Dunmanus,51.532,-9.850
CE13015,6,Mizen,51.456,-10.029
CE13015,6,Mizen,51.457,-9.889
CE13015,6,Mizen,51.434,-9.786
CE13015,6,Mizen,51.483,-9.678
CE13015,6,Mizen,51.482,-9.553
CE13015,6,Mizen,51.415,-9.545
CE13015,6,Mizen,51.427,-9.465
CE13015,6,Mizen,51.447,-9.365
CE13015,6,Mizen,51.447,-9.259
CE13015,6,Mizen,51.539,-9.058
CE13015,6,Mizen,51.525,-8.945
CE13015,6,Mizen,51.561,-8.871
CE13015,6,Mizen,51.561,-8.711
CE13015,6,Mizen,51.615,-8.624
