Cruise_Code,Stratum,ICES,Lat,Lon
CE15010,SR45E4,VIaN,58.0001,-5.4973
CE15010,SR45E4,VIaN,58.4999,-5.1341
CE15010,SR45E4,VIaN,58.4999,-5.9999
CE15010,SR45E4,VIaN,58.0001,-5.9999
CE15010,SR45E4,VIaN,58.0001,-5.4973
CE15010,SR45E3,VIaN,58.0001,-6.0001
CE15010,SR45E3,VIaN,58.4999,-6.0001
CE15010,SR45E3,VIaN,58.4999,-6.9999
CE15010,SR45E3,VIaN,58.2514,-6.9999
CE15010,SR45E3,VIaN,58.4954,-6.3264
CE15010,SR45E3,VIaN,58.4898,-6.1662
CE15010,SR45E3,VIaN,58.2855,-6.1662
CE15010,SR45E3,VIaN,58.2741,-6.1235
CE15010,SR45E3,VIaN,58.2032,-6.1341
CE15010,SR45E3,VIaN,58.1493,-6.3051
CE15010,SR45E3,VIaN,58.0001,-6.3638
CE15010,SR45E3,VIaN,58.0001,-6.0001
CE15010,SR45E2,VIaN,58.0001,-7.0001
CE15010,SR45E2,VIaN,58.4999,-7.0001
CE15010,SR45E2,VIaN,58.4999,-7.9999
CE15010,SR45E2,VIaN,58.0001,-7.9999
CE15010,SR45E2,VIaN,58.0001,-7.0001
CE15010,SR45E1,VIaN,58.0001,-8.0001
CE15010,SR45E1,VIaN,58.4999,-8.0001
CE15010,SR45E1,VIaN,58.4999,-8.5881
CE15010,SR45E1,VIaN,58.1947,-8.9999
CE15010,SR45E1,VIaN,58.0001,-8.9999
CE15010,SR45E1,VIaN,58.0001,-8.0001
CE15010,SR44E4,VIaN,57.5001,-5.8872
CE15010,SR44E4,VIaN,57.6947,-5.8082
CE15010,SR44E4,VIaN,57.7344,-5.8608
CE15010,SR44E4,VIaN,57.8819,-5.845
CE15010,SR44E4,VIaN,57.9999,-5.4816
CE15010,SR44E4,VIaN,57.9999,-5.9999
CE15010,SR44E4,VIaN,57.5897,-5.9999
CE15010,SR44E4,VIaN,57.5897,-5.9451
CE15010,SR44E4,VIaN,57.5001,-5.9609
CE15010,SR44E4,VIaN,57.5001,-5.8872
CE15010,SR44E3,VIaN,57.5001,-6.0001
CE15010,SR44E3,VIaN,57.9999,-6.0001
CE15010,SR44E3,VIaN,57.9999,-6.392
CE15010,SR44E3,VIaN,57.7174,-6.9999
CE15010,SR44E3,VIaN,57.5001,-6.9999
CE15010,SR44E3,VIaN,57.5001,-6.6817
CE15010,SR44E3,VIaN,57.5800,-6.6817
CE15010,SR44E3,VIaN,57.7000,-6.3025
CE15010,SR44E3,VIaN,57.6039,-6.1286
CE15010,SR44E3,VIaN,57.5001,-6.1181
CE15010,SR44E3,VIaN,57.5001,-6.0001
CE15010,SR44E2,VIaN,57.5001,-7.6500
CE15010,SR44E2,VIaN,57.9999,-7.1339
CE15010,SR44E2,VIaN,57.9999,-7.9999
CE15010,SR44E2,VIaN,57.5001,-7.9999
CE15010,SR44E2,VIaN,57.5001,-7.6500
CE15010,SR44E1,VIaN,57.5001,-8.0001
CE15010,SR44E1,VIaN,57.9999,-8.0001
CE15010,SR44E1,VIaN,57.9999,-8.9999
CE15010,SR44E1,VIaN,57.5001,-8.9999
CE15010,SR44E1,VIaN,57.5001,-8.0001
CE15010,SR44E0,VIaN,57.5001,-9.0001
CE15010,SR44E0,VIaN,57.9999,-9.0001
CE15010,SR44E0,VIaN,57.9999,-9.3815
CE15010,SR44E0,VIaN,57.5001,-9.6923
CE15010,SR44E0,VIaN,57.5001,-9.0001
CE15010,SR43E3,VIaN,57.0001,-6.0001
CE15010,SR43E3,VIaN,57.3167,-6.5286
CE15010,SR43E3,VIaN,57.3791,-6.8093
CE15010,SR43E3,VIaN,57.4999,-6.8041
CE15010,SR43E3,VIaN,57.4999,-6.9999
CE15010,SR43E3,VIaN,57.0001,-6.9999
CE15010,SR43E3,VIaN,57.0001,-6.4871
CE15010,SR43E3,VIaN,57.0812,-6.3727
CE15010,SR43E3,VIaN,57.0001,-6.2012
CE15010,SR43E3,VIaN,57.0001,-6.0001
CE15010,SR43E2,VIaN,57.0001,-7.0001
CE15010,SR43E2,VIaN,57.4999,-7.0001
CE15010,SR43E2,VIaN,57.4999,-7.1648
CE15010,SR43E2,VIaN,57.0415,-7.2750
CE15010,SR43E2,VIaN,57.0982,-7.4558
CE15010,SR43E2,VIaN,57.4999,-7.4454
CE15010,SR43E2,VIaN,57.4999,-7.9999
CE15010,SR43E2,VIaN,57.0001,-7.9999
CE15010,SR43E2,VIaN,57.0001,-7.5598
CE15010,SR43E2,VIaN,57.0642,-7.4662
CE15010,SR43E2,VIaN,57.0001,-7.2750
CE15010,SR43E2,VIaN,57.0001,-7.0001
CE15010,SR43E1,VIaN,57.0001,-8.0001
CE15010,SR43E1,VIaN,57.4999,-8.0001
CE15010,SR43E1,VIaN,57.4999,-8.9999
CE15010,SR43E1,VIaN,57.0001,-8.9999
CE15010,SR43E1,VIaN,57.0001,-8.0001
CE15010,SR43E0,VIaN,57.0001,-9.0001
CE15010,SR43E0,VIaN,57.4999,-9.0001
CE15010,SR43E0,VIaN,57.4999,-9.5702
CE15010,SR43E0,VIaN,57.0001,-9.3363
CE15010,SR43E0,VIaN,57.0001,-9.0001
CE15010,SR42E3,VIaN,56.5001,-6.4359
CE15010,SR42E3,VIaN,56.7883,-6.1744
CE15010,SR42E3,VIaN,56.9999,-6.5487
CE15010,SR42E3,VIaN,56.9999,-6.9999
CE15010,SR42E3,VIaN,56.5001,-6.9999
CE15010,SR42E3,VIaN,56.7231,-6.4462
CE15010,SR42E3,VIaN,56.689,-6.3846
CE15010,SR42E3,VIaN,56.5001,-6.7436
CE15010,SR42E3,VIaN,56.5001,-6.4359
CE15010,SR42E2,VIaN,56.5001,-7.0001
CE15010,SR42E2,VIaN,56.9999,-7.0001
CE15010,SR42E2,VIaN,56.9999,-7.9999
CE15010,SR42E2,VIaN,56.5001,-7.9999
CE15010,SR42E2,VIaN,56.5001,-7.0001
CE15010,SR42E1,VIaN,56.5001,-8.0001
CE15010,SR42E1,VIaN,56.9999,-8.0001
CE15010,SR42E1,VIaN,56.9999,-8.9999
CE15010,SR42E1,VIaN,56.5001,-8.9999
CE15010,SR42E1,VIaN,56.5001,-8.0001
CE15010,SR42E0,VIaN,56.5001,-9.0001
CE15010,SR42E0,VIaN,56.9999,-9.0001
CE15010,SR42E0,VIaN,56.9999,-9.1385
CE15010,SR42E0,VIaN,56.5001,-9.1333
CE15010,SR42E0,VIaN,56.5001,-9.0001
CE15010,SR41E3,VIaN,56.0001,-6.4000
CE15010,SR41E3,VIaN,56.433,-6.4000
CE15010,SR41E3,VIaN,56.433,-6.9999
CE15010,SR41E3,VIaN,56.0001,-6.9999
CE15010,SR41E3,VIaN,56.0001,-6.4000
CE15010,SR41E2,VIaN,56.0001,-7.0001
CE15010,SR41E2,VIaN,56.4999,-7.0001
CE15010,SR41E2,VIaN,56.4999,-7.9999
CE15010,SR41E2,VIaN,56.0001,-7.9999
CE15010,SR41E2,VIaN,56.0001,-7.0001
CE15010,SR41E1,VIaN,56.0001,-8.0001
CE15010,SR41E1,VIaN,56.4999,-8.0001
CE15010,SR41E1,VIaN,56.4999,-8.9999
CE15010,SR41E1,VIaN,56.0001,-8.9999
CE15010,SR41E1,VIaN,56.0001,-8.0001
CE15010,SR41E0,VIaN,56.0001,-9.0001
CE15010,SR41E0,VIaN,56.4999,-9.0001
CE15010,SR41E0,VIaN,56.4999,-9.2343
CE15010,SR41E0,VIaN,56.0001,-9.2343
CE15010,SR41E0,VIaN,56.0001,-9.0001
CE15010,SR40E3,VIaN,55.5001,-6.4000
CE15010,SR40E3,VIaN,55.9999,-6.4000
CE15010,SR40E3,VIaN,55.9999,-6.9999
CE15010,SR40E3,VIaN,55.5001,-6.9999
CE15010,SR40E3,VIaN,55.5001,-6.4000
CE15010,SR40E2,VIaS,55.5001,-7.0001
CE15010,SR40E2,VIaS,55.9999,-7.0001
CE15010,SR40E2,VIaS,55.9999,-7.9999
CE15010,SR40E2,VIaS,55.5001,-7.9999
CE15010,SR40E2,VIaS,55.5001,-7.0001
CE15010,SR40E1,VIaS,55.5001,-8.0001
CE15010,SR40E1,VIaS,55.9999,-8.0001
CE15010,SR40E1,VIaS,55.9999,-8.9999
CE15010,SR40E1,VIaS,55.5001,-8.9999
CE15010,SR40E1,VIaS,55.5001,-8.0001
CE15010,SR40E0,VIaS,55.5001,-9.0001
CE15010,SR40E0,VIaS,55.9999,-9.0001
CE15010,SR40E0,VIaS,55.9999,-9.2976
CE15010,SR40E0,VIaS,55.5001,-9.5225
CE15010,SR40E0,VIaS,55.5001,-9.0001
CE15010,SR39E2,VIaS,55.2684,-7.0001
CE15010,SR39E2,VIaS,55.4999,-7.0001
CE15010,SR39E2,VIaS,55.4999,-7.9999
CE15010,SR39E2,VIaS,55.2372,-7.9999
CE15010,SR39E2,VIaS,55.2684,-7.0001
CE15010,SR39E1,VIaS,55.0001,-8.5814
CE15010,SR39E1,VIaS,55.2344,-8.0001
CE15010,SR39E1,VIaS,55.4999,-8.0001
CE15010,SR39E1,VIaS,55.4999,-8.9999
CE15010,SR39E1,VIaS,55.0001,-8.9999
CE15010,SR39E1,VIaS,55.0001,-8.5814
CE15010,SR39E0,VIaS,55.0001,-9.0001
CE15010,SR39E0,VIaS,55.4999,-9.0001
CE15010,SR39E0,VIaS,55.4999,-9.7295
CE15010,SR39E0,VIaS,55.2599,-9.9999
CE15010,SR39E0,VIaS,55.0001,-9.9999
CE15010,SR39E0,VIaS,55.0001,-9.0001
CE15010,SR39D9,VIaS,55.0001,-10.0001
CE15010,SR39D9,VIaS,55.1039,-10.0001
CE15010,SR39D9,VIaS,55.1039,-10.1965
CE15010,SR39D9,VIaS,55.0001,-10.1965
CE15010,SR39D9,VIaS,55.0001,-10.0001
CE15010,SR38E1,VIaS,54.5001,-8.3026
CE15010,SR38E1,VIaS,54.6606,-8.8047
